"","x"
"1","https://fbref.com/en/matches/fa531c8b/Barracas-Central-CC-Cordoba-June-3-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"2","https://fbref.com/en/matches/8a5c877e/Tucuman-Colon-June-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"3","https://fbref.com/en/matches/8dbd30f4/San-Lorenzo-Independiente-June-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"4","https://fbref.com/en/matches/00f478fc/Banfield-Newells-OB-June-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"5","https://fbref.com/en/matches/4416789e/Patronato-Velez-Sarsf-June-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"6","https://fbref.com/en/matches/d794ca0e/Platense-Godoy-Cruz-June-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"7","https://fbref.com/en/matches/1d703f65/CA-Union-Tigre-June-5-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"8","https://fbref.com/en/matches/8d896daf/Talleres-Sarmiento-June-5-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"9","https://fbref.com/en/matches/3302050d/Estudiantes-Gimnasia-ELP-June-5-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"10","https://fbref.com/en/matches/43e41f41/Boca-Juniors-Arsenal-June-5-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"11","https://fbref.com/en/matches/71ff12a6/Racing-Club-CA-Huracan-June-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"12","https://fbref.com/en/matches/ee7e995b/Rosario-Cent-Lanus-June-6-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"13","https://fbref.com/en/matches/275ac622/Defensa-y-Just-River-Plate-June-5-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"14","https://fbref.com/en/matches/16734a52/Argentinos-Jun-Aldosivi-June-6-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"15","https://fbref.com/en/matches/b78e57e3/Newells-OB-San-Lorenzo-June-9-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"16","https://fbref.com/en/matches/34cd3924/Gimnasia-ELP-Patronato-June-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"17","https://fbref.com/en/matches/a461d41c/Lanus-Defensa-y-Just-June-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"18","https://fbref.com/en/matches/d9231f48/Aldosivi-Estudiantes-June-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"19","https://fbref.com/en/matches/91164986/Arsenal-Banfield-June-11-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"20","https://fbref.com/en/matches/9618b74c/Tigre-Barracas-Central-June-11-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"21","https://fbref.com/en/matches/fbbb4d1e/Sarmiento-Argentinos-Jun-June-11-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"22","https://fbref.com/en/matches/95e2f008/River-Plate-Tucuman-June-11-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"23","https://fbref.com/en/matches/1e04a5f3/CA-Huracan-Rosario-Cent-June-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"24","https://fbref.com/en/matches/b352ad25/Independiente-Talleres-June-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"25","https://fbref.com/en/matches/62bb23de/Colon-CA-Union-June-12-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"26","https://fbref.com/en/matches/70fc7719/Godoy-Cruz-Racing-Club-June-12-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"27","https://fbref.com/en/matches/f1a880ce/Velez-Sarsf-Platense-June-12-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"28","https://fbref.com/en/matches/83949e59/CC-Cordoba-Boca-Juniors-June-12-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"29","https://fbref.com/en/matches/c97fdbae/San-Lorenzo-Arsenal-June-14-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"30","https://fbref.com/en/matches/15df410e/Talleres-Newells-OB-June-14-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"31","https://fbref.com/en/matches/d182a8ba/Patronato-Aldosivi-June-14-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"32","https://fbref.com/en/matches/d9ba58d6/Barracas-Central-CA-Union-June-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"33","https://fbref.com/en/matches/553eb9ff/Banfield-CC-Cordoba-June-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"34","https://fbref.com/en/matches/9f425902/Tucuman-Lanus-June-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"35","https://fbref.com/en/matches/161afd6f/Colon-River-Plate-June-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"36","https://fbref.com/en/matches/e9817850/Defensa-y-Just-CA-Huracan-June-14-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"37","https://fbref.com/en/matches/fce7f313/Estudiantes-Sarmiento-June-14-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"38","https://fbref.com/en/matches/3a451621/Rosario-Cent-Godoy-Cruz-June-16-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"39","https://fbref.com/en/matches/620cc1e5/Argentinos-Jun-Independiente-June-16-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"40","https://fbref.com/en/matches/16da6e86/Boca-Juniors-Tigre-June-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"41","https://fbref.com/en/matches/8ed7d3a5/Platense-Gimnasia-ELP-June-16-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"42","https://fbref.com/en/matches/bf667f24/Racing-Club-Velez-Sarsf-June-16-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"43","https://fbref.com/en/matches/94e8acb9/Arsenal-Talleres-June-18-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"44","https://fbref.com/en/matches/d4e9c2cd/Sarmiento-Patronato-June-18-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"45","https://fbref.com/en/matches/a85030ab/Tigre-Banfield-June-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"46","https://fbref.com/en/matches/5e83d8d2/Lanus-Colon-June-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"47","https://fbref.com/en/matches/877713a4/CA-Huracan-Tucuman-June-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"48","https://fbref.com/en/matches/54372e17/CA-Union-River-Plate-June-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"49","https://fbref.com/en/matches/7d546507/Godoy-Cruz-Defensa-y-Just-June-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"50","https://fbref.com/en/matches/7043766c/Velez-Sarsf-Rosario-Cent-June-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"51","https://fbref.com/en/matches/e4998532/Gimnasia-ELP-Racing-Club-June-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"52","https://fbref.com/en/matches/36924da9/Barracas-Central-Boca-Juniors-June-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"53","https://fbref.com/en/matches/c80e85b1/Aldosivi-Platense-June-21-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"54","https://fbref.com/en/matches/7920ca26/Newells-OB-Argentinos-Jun-June-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"55","https://fbref.com/en/matches/8fd7df82/Independiente-Estudiantes-June-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"56","https://fbref.com/en/matches/e6945889/CC-Cordoba-San-Lorenzo-June-21-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"57","https://fbref.com/en/matches/145e509d/Rosario-Cent-Gimnasia-ELP-June-24-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"58","https://fbref.com/en/matches/d56845a3/Banfield-Barracas-Central-June-24-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"59","https://fbref.com/en/matches/26598074/Defensa-y-Just-Velez-Sarsf-June-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"60","https://fbref.com/en/matches/e393fa69/Talleres-CC-Cordoba-June-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"61","https://fbref.com/en/matches/6718b9aa/Estudiantes-Newells-OB-June-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"62","https://fbref.com/en/matches/8a8252e9/Colon-CA-Huracan-June-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"63","https://fbref.com/en/matches/24b3de65/River-Plate-Lanus-June-25-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"64","https://fbref.com/en/matches/53e7cd11/Boca-Juniors-CA-Union-June-24-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"65","https://fbref.com/en/matches/07c8c501/San-Lorenzo-Tigre-June-26-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"66","https://fbref.com/en/matches/70862c6e/Platense-Sarmiento-June-26-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"67","https://fbref.com/en/matches/2e83cb2e/Racing-Club-Aldosivi-June-26-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"68","https://fbref.com/en/matches/19cc9666/Argentinos-Jun-Arsenal-June-26-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"69","https://fbref.com/en/matches/1b0f64b0/Patronato-Independiente-June-27-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"70","https://fbref.com/en/matches/7cac1d7b/Tucuman-Godoy-Cruz-June-27-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"71","https://fbref.com/en/matches/e3c56be4/CC-Cordoba-Argentinos-Jun-July-1-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"72","https://fbref.com/en/matches/125af96f/Tigre-Talleres-July-2-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"73","https://fbref.com/en/matches/20fa3831/Godoy-Cruz-Colon-July-2-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"74","https://fbref.com/en/matches/8fe978f4/Velez-Sarsf-Tucuman-July-2-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"75","https://fbref.com/en/matches/58a7c052/Gimnasia-ELP-Defensa-y-Just-July-2-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"76","https://fbref.com/en/matches/7b8e2d8d/Boca-Juniors-Banfield-July-1-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"77","https://fbref.com/en/matches/3e67f120/CA-Union-Lanus-July-3-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"78","https://fbref.com/en/matches/a3e8b6f1/Barracas-Central-San-Lorenzo-July-3-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"79","https://fbref.com/en/matches/4b730192/Sarmiento-Racing-Club-July-3-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"80","https://fbref.com/en/matches/006555d9/Arsenal-Estudiantes-July-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"81","https://fbref.com/en/matches/4143acf3/Newells-OB-Patronato-July-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"82","https://fbref.com/en/matches/81ea4132/Aldosivi-Rosario-Cent-July-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"83","https://fbref.com/en/matches/3b524efb/CA-Huracan-River-Plate-July-3-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"84","https://fbref.com/en/matches/2ecddb0a/Independiente-Platense-July-4-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"85","https://fbref.com/en/matches/f6e50039/Rosario-Cent-Sarmiento-July-8-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"86","https://fbref.com/en/matches/1ebe21c2/Patronato-Arsenal-July-9-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"87","https://fbref.com/en/matches/a588f30e/San-Lorenzo-Boca-Juniors-July-9-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"88","https://fbref.com/en/matches/d8aba780/Banfield-CA-Union-July-9-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"89","https://fbref.com/en/matches/099c2f56/Platense-Newells-OB-July-9-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"90","https://fbref.com/en/matches/c7c5b9c4/Talleres-Barracas-Central-July-9-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"91","https://fbref.com/en/matches/c2c84edc/Estudiantes-CC-Cordoba-July-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"92","https://fbref.com/en/matches/8327c7a9/Racing-Club-Independiente-July-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"93","https://fbref.com/en/matches/c25ef036/Tucuman-Gimnasia-ELP-July-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"94","https://fbref.com/en/matches/f9d99983/Lanus-CA-Huracan-July-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"95","https://fbref.com/en/matches/ce2928e1/River-Plate-Godoy-Cruz-July-10-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"96","https://fbref.com/en/matches/1eca9b82/Defensa-y-Just-Aldosivi-July-11-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"97","https://fbref.com/en/matches/8e967603/Colon-Velez-Sarsf-July-11-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"98","https://fbref.com/en/matches/aade8766/Argentinos-Jun-Tigre-July-11-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"99","https://fbref.com/en/matches/7868405e/Sarmiento-Defensa-y-Just-July-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"100","https://fbref.com/en/matches/74d0ca21/CC-Cordoba-Patronato-July-14-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"101","https://fbref.com/en/matches/8a3e6849/Barracas-Central-Argentinos-Jun-July-16-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"102","https://fbref.com/en/matches/b78871bd/Independiente-Rosario-Cent-July-16-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"103","https://fbref.com/en/matches/dbe151e9/Gimnasia-ELP-Colon-July-16-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"104","https://fbref.com/en/matches/5187a533/Newells-OB-Racing-Club-July-16-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"105","https://fbref.com/en/matches/cb78d997/Boca-Juniors-Talleres-July-16-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"106","https://fbref.com/en/matches/02ac8a2b/Arsenal-Platense-July-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"107","https://fbref.com/en/matches/3bc2bd6f/Aldosivi-Tucuman-July-15-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"108","https://fbref.com/en/matches/970fd41b/Godoy-Cruz-Lanus-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"109","https://fbref.com/en/matches/f8ce4a80/CA-Union-CA-Huracan-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"110","https://fbref.com/en/matches/d4fa7e63/Banfield-San-Lorenzo-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"111","https://fbref.com/en/matches/56b5469b/Tigre-Estudiantes-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"112","https://fbref.com/en/matches/40348afe/Velez-Sarsf-River-Plate-July-17-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"113","https://fbref.com/en/matches/665bb3f1/Platense-CC-Cordoba-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"114","https://fbref.com/en/matches/fb911bec/Colon-Aldosivi-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"115","https://fbref.com/en/matches/90b683da/Tucuman-Sarmiento-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"116","https://fbref.com/en/matches/d2000b1c/Racing-Club-Arsenal-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"117","https://fbref.com/en/matches/5f74c791/San-Lorenzo-CA-Union-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"118","https://fbref.com/en/matches/0dac3404/Patronato-Tigre-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"119","https://fbref.com/en/matches/c508210b/Estudiantes-Barracas-Central-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"120","https://fbref.com/en/matches/dc654f58/Defensa-y-Just-Independiente-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"121","https://fbref.com/en/matches/bef1e759/Argentinos-Jun-Boca-Juniors-July-19-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"122","https://fbref.com/en/matches/fcb1513c/Rosario-Cent-Newells-OB-July-21-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"123","https://fbref.com/en/matches/fdecbe6b/Talleres-Banfield-July-21-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"124","https://fbref.com/en/matches/815f74e5/Lanus-Velez-Sarsf-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"125","https://fbref.com/en/matches/8847cdb2/CA-Huracan-Godoy-Cruz-July-20-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"126","https://fbref.com/en/matches/157ab5a5/River-Plate-Gimnasia-ELP-July-21-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"127","https://fbref.com/en/matches/cfb46888/Sarmiento-Colon-July-23-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
"128","https://fbref.com/en/matches/b4efc9be/CC-Cordoba-Racing-Club-July-23-2022-Primera-Division?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"
